Date,Open,High,Low,Close,Volume From,Volume To
27-09-2017,3880.73,4234.26,3879,4202,6990.82,28524464.14
28-09-2017,4202,4278,4110,4190.01,6198,26004536.4
29-09-2017,4190.01,4245,4010.1,4168.07,5877.59,24262009.8
30-09-2017,4168.07,4390,4164,4365,3719.7,16027819.75
01-10-2017,4365,4421,4255.51,4412.79,2998.23,12989541.58
02-10-2017,4412.79,4487,4358,4401,3720.45,16448630.64
03-10-2017,4401,4434.01,4216,4308.88,4091.63,17576327.91
04-10-2017,4308.88,4350.84,4173.31,4213.3,2862.53,12134432.38
05-10-2017,4213.3,4368.59,4131,4317.07,3304.73,14069104.42
06-10-2017,4317.07,4423.75,4298.32,4371.64,2212.4,9663683.94
07-10-2017,4371.64,4480,4314,4440,2869.74,12540675.85
08-10-2017,4440,4633.39,4420.72,4611,4341.02,19725509.29
09-10-2017,4611,4888,4553.13,4787.66,6046.93,28512406
10-10-2017,4787.66,4939.13,4714.83,4770,4556.88,22015201.53
11-10-2017,4770,4875.48,4720,4820,2357.87,11326143.85
12-10-2017,4820,5444.37,4820,5441.55,8165.1,42412144.44
13-10-2017,5441.55,5862,5385.6,5646.63,11605.08,65474594.62
14-10-2017,5646.63,5850,5560.18,5832.73,3567.27,20346092.27
15-10-2017,5832.73,5880.87,5434.14,5715,6572.32,36755074
16-10-2017,5715,5800,5565,5765,5497.55,31234581.49
17-10-2017,5765,5780.11,5512.68,5609.39,4285.58,24070557.58
18-10-2017,5609.39,5609.39,5100,5563,7989.88,42728638.5
19-10-2017,5563,5737.91,5495.87,5696.65,3978.15,22467810.14
20-10-2017,5696.65,6095,5600.09,5992,5368.23,31671110.6
21-10-2017,5992,6180,5865,6009.34,5597.02,33916718.48
22-10-2017,6009.34,6070,5707.36,5963.68,4998.38,29397655.89
23-10-2017,5963.68,6059,5500,5900,6774.53,39264109.49
24-10-2017,5900,5900,5460,5508.76,7083.69,39942309.39
25-10-2017,5508.76,5745,5362.39,5709.31,4282.43,23695905.62
26-10-2017,5709.31,5968,5669.1,5880,4195.15,24489995.61
27-10-2017,5880,5999,5683.18,5756.51,3102.75,18054468.29
28-10-2017,5756.51,5870.32,5641,5719,1931.7,11070228.5
29-10-2017,5719,6248.63,5670,6155,5545.15,33176735.61
30-10-2017,6155,6246.08,6004.4,6125,2862.98,17545716.86
31-10-2017,6125,6475.44,6091.09,6450.02,3829.37,24118456.12
01-11-2017,6450.02,6739.79,6351,6739.79,4721.9,30821269.44
02-11-2017,6739.79,7281.43,6607.3,7025,10748.35,74401788.91
03-11-2017,7025,7438.63,6921.24,7124.36,5919.59,42603430.78
04-11-2017,7124.36,7440,6864.16,7366,5099.93,36762707.58
05-11-2017,7366,7599,7250.3,7379.17,4322.23,32231637.4
06-11-2017,7379.17,7420,6908.51,6929.97,6588.71,47092577.36
07-11-2017,6929.97,7251,6929.97,7084.87,4117.55,29114065.74
08-11-2017,7084.87,7771,7000,7410,9304.06,68447769.29
09-11-2017,7410,7442,6955.48,7020,6184.85,44561094.13
10-11-2017,7020,7277.39,6315,6543.2,13449.77,90827394.14
11-11-2017,6543.2,6800,6150,6300,12817.55,82349719.45
12-11-2017,6300,6549,5151,5835,28336.76,170040869.6
13-11-2017,5835,6701.99,5773.22,6475.78,18072.32,113649124.7
14-11-2017,6475.78,6688,6299.36,6554.92,6785.76,44315475.66
15-11-2017,6554.92,7298.35,6554.92,7275.12,9572.66,67128214.47
16-11-2017,7275.12,7980,7082.13,7858,11103.86,83626670.64
17-11-2017,7858,8022,7511,7687.51,8946.19,69824314.89
18-11-2017,7687.51,7855.18,7413,7770,5862.05,44817158.42
19-11-2017,7770,8131.3,7650,8060,5244.93,41462129.38
20-11-2017,8060,8299.75,7951,8249,4201.59,34280280.99
21-11-2017,8249,8389.17,7807,8107,8320.61,67393997.55
22-11-2017,8107,8319,8077.82,8213.65,4371.91,35871100.19
23-11-2017,8213.65,8268.31,8000,8000,5505.68,44926073.52
24-11-2017,8000,8338.58,7890,8198.93,7086.68,57726796.51
25-11-2017,8198.93,8710,8144.52,8709,6589.41,55753752.55
26-11-2017,8709,9350,8683,9284.34,7658.58,69116873.94
27-11-2017,9284.34,9730,9211,9711,8362.81,79743097.65
28-11-2017,9711,9951.43,9600,9879.97,6232.04,61246815.57
29-11-2017,9879.97,11447.1,8700,9702,25162.04,255694366.4
30-11-2017,9702,10570.1,8861,9907.68,14375.63,139091071.9
01-12-2017,9907.68,10829.59,9350.3,10699.89,7561.24,76715777.34
02-12-2017,10699.89,11197.81,10595.01,10895.79,6726.61,73453885.35
03-12-2017,10895.79,11847.88,10465,11175,10502.68,118265649.1
04-12-2017,11175,11600,10800.82,11600,5497.92,62134737.34
05-12-2017,11600,11867,11411.71,11665.14,4869.06,56783902.3
06-12-2017,11665.14,13666,11641,13580.91,11194.93,141297888
07-12-2017,13580.91,16672,13092.27,16563.51,16534.35,244169690.7
08-12-2017,16563.51,17200,13900,15847.68,14970.35,230420652.3
09-12-2017,15847.68,16234.14,12919,14690.22,9538.41,137360332.4
10-12-2017,14690.22,16000,12700.01,14906.01,11357.2,162397487.4
11-12-2017,14906.01,17450,14906,16478.96,8641.58,141877409.2
12-12-2017,16478.96,16980,15667,16228,8795.89,144285571.1
13-12-2017,16228,16530,15100,15907,9412.2,150292580.4
14-12-2017,15907,16668,15451,16401.53,8540.16,137992588.7
15-12-2017,16401.53,18000,16300,17540,8627.32,150193595.9
16-12-2017,17540,19764.79,17251,19223,6356.85,117335298.7
17-12-2017,19223,19903.44,18569.64,18959.2,7282.77,140092326.5
18-12-2017,18959.2,19200,17805.44,18930.53,8225.57,152446347
19-12-2017,18930.53,19000,16502,17310,10880.43,193311486.5
20-12-2017,17310,17835,15550,16470,14188.45,234537121.9
21-12-2017,16470,17375.99,14500,15293,11868.54,186951564.1
22-12-2017,15293,15519.79,11362.39,13247.06,29968.89,396038503.8
23-12-2017,13247.06,14940,13000,13830,11453.34,162555092.9
24-12-2017,13830,13999,11703.14,13517,13389.67,172488515.6
25-12-2017,13517,14300,12702.85,13638,6181.98,83950439.71
26-12-2017,13638,16050.66,13510.54,15700.09,8234.26,125250307
27-12-2017,15700.09,16500.91,14454,15370.01,8029.25,124139342.6
28-12-2017,15370.01,15464.08,13260.01,14307.35,9301.91,130806985
29-12-2017,14307.35,15100,13770,14305.53,6966.73,100213730.3
30-12-2017,14305.53,14365.39,11701,12351.93,12776.35,164673298.7
31-12-2017,12351.93,14145,12205,13769.34,7123.68,94241790.44
01-01-2018,13769.34,13892,12800,13351.74,5912.53,78833063.08
02-01-2018,13351.74,15325,12875,14738,7753.18,109224074.7
03-01-2018,14738,15440.73,14476.14,15150,7101.17,106036383.5
04-01-2018,15150,15400,14083.91,15167.63,7524.95,111185470
05-01-2018,15167.63,17108,14772.46,16924,7958.89,127071935.8
06-01-2018,16924,17257.09,16200,17158.73,4558.22,76125226.33
07-01-2018,17158.73,17177.45,15683.86,16174.43,4446.04,72935547.11
08-01-2018,16174.43,16277.5,13268.19,14922.81,8907.42,132386233.3
09-01-2018,14922.81,15427.83,14110.84,14388.06,5357.29,79106643.47
10-01-2018,14388.06,15000,13270,14854,7789.71,109754014.6
11-01-2018,14854,14931,12593.46,13291.68,9749.88,131799939.8
12-01-2018,13291.68,14119.63,12600,13812.53,4975.26,67634697.85
13-01-2018,13812.53,14591.37,13758,14205,3279.74,46584640.5
14-01-2018,14205,14449.03,12854,13560,4888.93,65638686.27
15-01-2018,13560,14300,13304.03,13580,3879.73,53535285.42
16-01-2018,13580,13589.88,10000,11102.7,17107.23,198203240.6
17-01-2018,11102.7,11800,9150.29,11036.12,16353.79,170671826.8
18-01-2018,11036.12,11900,10400,11010,10593.3,119824231.8
19-01-2018,11010,11750,10641,11410.54,5388.71,60647072.42
20-01-2018,11410.54,13400,11406.7,12750.17,6700.67,83448831.48
21-01-2018,12750.17,12750.17,10950,11510,6608.21,77777897.88
22-01-2018,11510,11896.06,9948,10767,8553.42,92371635.39
23-01-2018,10767,11400,9880,10807.77,6772.2,72381369.28
24-01-2018,10807.77,11516.8,10350,11388.8,4837.58,53417007.87
25-01-2018,11388.8,11722.65,10890,11170.46,3908.71,43995430.32
26-01-2018,11170.46,11635.62,10293.19,11079.31,6268.17,68040992.54
27-01-2018,11079.31,11650,10824.82,11480.56,3971.22,44932560.26
28-01-2018,11480.56,12200,11425,11850,4119.4,48878713.47
29-01-2018,11850,12000,11100,11227,3123.58,35761454.81
30-01-2018,11227,11271.33,9850,10181.54,6439.28,67375546.23
31-01-2018,10181.54,10424.63,9700.46,10261.26,4204.13,42316889.54
01-02-2018,10261.26,10367.78,8820,9199.57,6084.61,57494536.76
02-02-2018,9199.57,9211.45,7966.89,8872,11578.56,100201900.7
03-02-2018,8872,9497.13,8207.79,9216.41,5697.6,51414495.73
04-02-2018,9216.41,9400,7900.05,8168.01,6283.56,53690353.48
05-02-2018,8168.01,8370,6666.67,6960,16260.93,120383256.5
06-02-2018,6960,7921.69,6012.62,7724,22290.57,153123114.5
07-02-2018,7724,8640,7200,7568.4,11660.41,92900223.4
08-02-2018,7568.4,8700.1,7568.4,8250,6863.02,56750801.26
09-02-2018,8250,8745,7756,8682.31,5169.73,42846194.62
10-02-2018,8682.31,9070,8144.47,8560.42,6157.82,53070135.4
11-02-2018,8560.42,8560.42,7805,8070,4509.32,36772320.68
12-02-2018,8070,9000,8070,8910,3826.24,33126284.39
13-02-2018,8910,8943.5,8355,8500.62,3642.31,31293751.68
14-02-2018,8500.62,9485.89,8500.62,9470,4108.86,37263750.95
15-02-2018,9470,10198.5,9319.84,10004,5275.11,51604899.34
16-02-2018,10004,10280,9674.52,10161,3012,30062234.36
17-02-2018,10161,11069.44,10045,11049,3857.72,41193022.44
18-02-2018,11049,11248,10080,10379,4812.4,51229772.14
19-02-2018,10379,11246.99,10290,11156,3077.16,33452377.08
20-02-2018,11156,11777,11081,11217.17,4494.84,51451610.46
21-02-2018,11217.17,11272.57,10224.3,10441.06,6189.48,66377090.39
22-02-2018,10441.06,10912,9722.22,9845.54,5590.31,56575837.76
23-02-2018,9845.54,10405.5,9559.97,10149.24,4499.47,44982531.93
24-02-2018,10149.24,10490,9360,9700,4245.86,41772803.85
25-02-2018,9700,9845,9247.72,9559.2,2618.51,24996319.77
26-02-2018,9559.2,10455,9358.53,10338.05,3754.49,37444837.68
27-02-2018,10338.05,10879,10121,10589.17,3483.14,36852886.43
28-02-2018,10589.17,11074,10252,10322.07,3174.72,33726412.59
01-03-2018,10322.07,11080,10201.12,10936.78,2598.61,27817545.13
02-03-2018,10936.78,11193,10777,11022.24,2313.34,25434092.04
03-03-2018,11022.24,11539.44,11014.27,11441,2093.94,23739477.59
04-03-2018,11441,11547.37,11075.48,11500.61,1566.57,17647922.49
05-03-2018,11500.61,11700,11417,11435,2155.97,24901651.75
06-03-2018,11435,11435,10558.97,10734.02,3394.38,37276267.36
07-03-2018,10734.02,10893.76,9424,9909.6,5661.38,57144246.84
08-03-2018,9909.6,10109.77,9070,9281.94,4504.28,43154941.92
09-03-2018,9281.94,9410.56,8359.32,9230.49,6392.8,56492671.16
10-03-2018,9230.49,9510,8680,8760.78,3744.8,34485772.01
11-03-2018,8760.78,9726.23,8443.78,9523.53,3847.83,35047641.12
12-03-2018,9523.53,9900,8777.22,9101.31,4287.93,40200145.32
13-03-2018,9101.31,9479,8829.33,9121.01,3248.53,29690956.61
14-03-2018,9121.01,9350,7935,8188,5693.13,48654884.61
15-03-2018,8188,8437,7648.06,8259.82,5922.18,47669036.29
16-03-2018,8259.82,8589.59,7906.94,8258.66,3638.63,30293485.73
17-03-2018,8258.66,8353.71,7723.15,7850,4102.08,32809486.26
18-03-2018,7850,8325.95,7321,8200,6427.03,49270227.63
19-03-2018,8200,8698,8101,8611,3684.57,30867203.25
20-03-2018,8611,9039.68,8306.81,8886.89,3577.54,31096079.37
21-03-2018,8886.89,9176.44,8759.88,8905.7,2994.78,26892421.63
22-03-2018,8905.7,9106.27,8480.11,8712.01,2967.14,25848434.01
23-03-2018,8712.01,8907.7,8270,8907.7,2737.52,23230776.1
24-03-2018,8907.7,9000,8510,8533.31,2300.09,20316440.53
25-03-2018,8533.31,8660.99,8330,8454.81,2034.68,17290811.19
26-03-2018,8454.81,8497.96,7840,8116.52,3251.76,26434106.32
27-03-2018,8116.52,8200,7739,7782.72,2716.32,21593823.75
28-03-2018,7782.72,8100.1,7731,7943.58,1748.47,13849708.71
29-03-2018,7943.58,7966.51,6900.1,7080.4,4677.83,34489532.9
30-03-2018,7080.4,7269.22,6590.53,6837.73,5087.42,35027751.49
31-03-2018,6837.73,7230.96,6790,6933.88,2699.74,18957202.51
01-04-2018,6933.88,7043.14,6427.1,6823.02,3411.4,22954922.43
02-04-2018,6823.02,7131.62,6766.02,7058.89,2119.41,14808465.74
03-04-2018,7058.89,7505.45,7005.43,7412.27,2699.02,19811522.4
04-04-2018,7412.27,7414.67,6684.32,6769.95,3178.49,22349003.47
05-04-2018,6769.95,6910,6542.31,6775,2738.73,18492360.41
06-04-2018,6775,6847.59,6499.98,6613.55,1976.9,13065306.23
07-04-2018,6613.55,7062.79,6599.25,6890,2053.42,14149413.87
08-04-2018,6890,7115.54,6890,7030,1190.82,8340252.15
09-04-2018,7030,7180.67,6618.08,6761.54,2205.51,15177407.15
10-04-2018,6761.54,6881.87,6658.71,6834,1090.37,7405417.28
11-04-2018,6834,6979.12,6799,6966.46,1116.28,7697428.13
12-04-2018,6966.46,8028,6750,7930,4567.16,34359542.26
13-04-2018,7930,8230,7735.89,7875,3822.42,30649592.7
14-04-2018,7875,8173,7822.3,7996,1619.11,12958802.28
15-04-2018,7996,8404.02,7996,8356,2086.88,17196145.75
16-04-2018,8356,8404,7870,8060,2162.83,17449234.95
17-04-2018,8060,8168.57,7830.99,7891.1,1564.2,12532418.65
18-04-2018,7891.1,8234,7873.94,8164.19,1760.86,14237112.46
19-04-2018,8164.19,8297,8103.88,8287,1425.95,11710389.15
20-04-2018,8287,8920.91,8216,8860,2593.64,22050729.05
21-04-2018,8860,9019.9,8583.09,8932,2657.08,23340304.85
22-04-2018,8932,9027.84,8732,8792,1329.18,11823357.13
23-04-2018,8792,8990,8756.94,8934.98,1061.78,9447143.89
24-04-2018,8934.98,9729.88,8915.23,9633.63,2680.72,25024653.31
25-04-2018,9633.63,9754.98,8770.1,8860.02,4185.73,38461430.04
26-04-2018,8860.02,9299,8652.59,9286,2378.24,21137393.15
27-04-2018,9286,9386,8920,8920.01,1990.55,18317132.71
28-04-2018,8920.01,9430.78,8881.06,9330.76,1392.22,12877750.86
29-04-2018,9330.76,9580,9168.09,9423.8,1425.4,13342531.65
30-04-2018,9423.8,9454,9101,9218.79,948.45,8793026.54
01-05-2018,9218.79,9235.38,8823,9070.97,1534.88,13794052.73
02-05-2018,9070.97,9280,8967.28,9245,987.55,9004373.53
03-05-2018,9245,9822.52,9160,9746.08,1880.07,17811110.32
04-05-2018,9746.08,9820,9537,9720,1237.91,11970925.83
05-05-2018,9720,9994.48,9690.19,9878.37,1374.46,13562083.07
06-05-2018,9878.37,9975,9478,9670,1306.01,12617211.61
07-05-2018,9670,9689.89,9180,9390,1722.22,16105813.5
08-05-2018,9390,9474,9056.21,9201,1537.74,14209452.26
09-05-2018,9201,9376,8970.9,9300.4,1283.38,11797110.84
10-05-2018,9300.4,9402.38,8995,9020,1028.11,9465746.75
11-05-2018,9020,9026.93,8355,8385.23,2382.67,20738578.68
12-05-2018,8385.23,8636.48,8152.1,8471.75,1661.54,13929983.99
13-05-2018,8471.75,8750,8311,8701.61,792.78,6799864.57
14-05-2018,8701.61,8882,8275,8671,1413.12,12112713.58
15-05-2018,8671,8866.86,8420,8449.74,979.02,8419455.24
16-05-2018,8449.74,8484.7,8079,8336.8,1444.16,11940054.19
17-05-2018,8336.8,8471.75,7989,8050,929.43,7648369.78
18-05-2018,8050,8265,7920,8240,892.96,7234919.8
19-05-2018,8240,8390,8135,8219.5,577.41,4771375.84
20-05-2018,8219.5,8585,8156.86,8525,805.63,6782042.82
21-05-2018,8525,8580,8309.88,8381.24,717.9,6062085.54
22-05-2018,8381.24,8400,7955,7985.23,1169.04,9584532.91
23-05-2018,7985.23,8033,7430,7509,2497.61,19243976.45
24-05-2018,7509,7720.56,7260,7575,1843.37,13827894.75
25-05-2018,7575,7647.57,7337.5,7450,1059.66,7905172.27
26-05-2018,7450,7617.26,7299,7331.76,801.25,5997112.56
27-05-2018,7331.76,7395,7222.1,7347.48,720.86,5261553.05
28-05-2018,7347.48,7450,7059.19,7100,1279.44,9233362.65
29-05-2018,7100,7531,7055,7456.49,1585.01,11622755.88
30-05-2018,7456.49,7556.23,7272.21,7381,1007.13,7474637.81
31-05-2018,7381,7599,7337.3,7490,1035.9,7785406.01
01-06-2018,7490,7600,7350.84,7530,656.54,4902505.56
02-06-2018,7530,7710,7446.97,7644.23,814.59,6206080.92
03-06-2018,7644.23,7771.97,7596.15,7710,878.35,6761318.78
04-06-2018,7710,7757.55,7448.39,7487.94,1238.19,9352222.77
05-06-2018,7487.94,7658.22,7360.01,7622.73,954.59,7160775.84
06-06-2018,7622.73,7689.25,7487.38,7650,663.41,5039711.66
07-06-2018,7650,7750,7635,7694.09,555.36,4276410.11
08-06-2018,7694.09,7701.19,7545,7610.62,418.52,3186170.15
09-06-2018,7610.62,7682.86,7466.3,7490,372.65,2839641.6
10-06-2018,7490,7498.76,6650,6763.91,2281.17,15931634.96
11-06-2018,6763.91,6955.69,6622.13,6874.6,1374.05,9301862.68
12-06-2018,6874.6,6883.9,6434.3,6540,1331.43,8876482.4
13-06-2018,6540,6614.81,6123.78,6292.3,2510.57,15956497.07
14-06-2018,6292.3,6703.1,6260.54,6626.93,1748.71,11338006.95
15-06-2018,6626.93,6655.81,6363.1,6376.15,684.09,4453023.12
16-06-2018,6376.15,6557.93,6330,6483.84,667.07,4296299.72
17-06-2018,6483.84,6577,6428.41,6442,326.71,2122722.47
18-06-2018,6442,6799,6382.08,6714.49,902.74,5951226.53
19-06-2018,6714.49,6833,6660,6746,669.2,4505434.43
20-06-2018,6746,6807.06,6556.64,6753,558.01,3724220.65
21-06-2018,6753,6789.79,6676.1,6712.63,403.34,2713250.1
22-06-2018,6712.63,6730.03,5888.88,6041.67,3435.74,21259174.75
23-06-2018,6041.67,6250,6006.1,6164.34,782.39,4788665.82
24-06-2018,6164.34,6241.46,5760,6151.81,2419.3,14338863.11
25-06-2018,6151.81,6339,6065,6240,1055.43,6561441.05
26-06-2018,6240,6264.02,6021.75,6078.4,633.85,3910752.03
27-06-2018,6078.4,6185.06,6001.3,6137.87,1211.09,7357602.2
28-06-2018,6137.87,6165.28,5781.55,5873,995.23,5956196.08
29-06-2018,5873,6300,5800,6197.5,1907.17,11344774.02
30-06-2018,6197.5,6514.6,6183.34,6390.52,1254.88,8010440.21
01-07-2018,6390.52,6500,6262,6348.8,636.35,4052190.7
02-07-2018,6348.8,6795.83,6275,6614.23,1451.13,9550138.51
03-07-2018,6614.23,6674.93,6470,6497.66,941.92,6198369.11
04-07-2018,6497.66,6781.1,6410.89,6585.6,945.44,6234600.93
05-07-2018,6585.6,6697.97,6461.18,6532.22,1226.32,8076724.79
06-07-2018,6532.22,6635.5,6441.51,6605,644.67,4221722.55
07-07-2018,6605,6800,6516.71,6760,585.21,3875908.58
08-07-2018,6760,6782,6680,6703.52,563.7,3801523.18
09-07-2018,6703.52,6800.12,6630,6654.5,691.34,4637908.55
10-07-2018,6654.5,6682.23,6260,6298,1129.85,7289756.04
11-07-2018,6298,6406.07,6285,6374,453.41,2878962.3
12-07-2018,6374,6377,5999,6245,1230.36,7600660.67
13-07-2018,6245,6349,6123,6218.64,753.56,4697951
14-07-2018,6218.64,6317.11,6178.21,6253.62,484.83,3026352.7
15-07-2018,6253.62,6387.84,6235.1,6343.14,585.16,3711992.68
16-07-2018,6343.14,6744.98,6335,6735,1148.02,7529274.84
17-07-2018,6735,7450.07,6661.09,7320.51,2792.41,19957081.73
18-07-2018,7320.51,7589.62,7232,7372.78,1961.46,14560219.99
19-07-2018,7372.78,7565,7272.72,7475.19,1001.08,7417323.77
20-07-2018,7475.19,7689.62,7286.43,7340.58,1557.42,11562127.48
21-07-2018,7340.58,7450,7220,7411.41,709.92,5209452.02
22-07-2018,7411.41,7579.96,7359.5,7405,790.33,5882855.4
23-07-2018,7405,7800,7380,7720,935.75,7196172.24
24-07-2018,7720,8480,7700,8410,2018.61,16411414.54
25-07-2018,8410,8483.41,8055.32,8173.04,1576.1,12994442.79
26-07-2018,8173.04,8314.94,7850.5,7938,1327.65,10739872.4
27-07-2018,7938,8280,7802,8185.48,1311.02,10536639.04
28-07-2018,8185.48,8234.47,8075,8218,862.6,7048688.89
29-07-2018,8218,8298,8125.62,8221.15,449.6,3698921.05
30-07-2018,8221.15,8264,7864,8178.05,1094.79,8844876.67
31-07-2018,8178.05,8178.05,7643,7731.55,1575.24,12331578.7
01-08-2018,7731.55,7752.4,7440,7616.02,1433.34,10837740.59
02-08-2018,7616.02,7699.39,7464.69,7536.86,848.03,6425286.37
03-08-2018,7536.86,7536.86,7290,7411.22,1523.88,11275198.87
04-08-2018,7411.22,7490,6939.97,7005,1289.86,9226190.05
05-08-2018,7005,7084,6899,7034.2,634.27,4431720.41
06-08-2018,7034.2,7149,6850,6928.5,825.54,5755826.92
07-08-2018,6928.5,7150.46,6663.47,6712,1301.6,9018760.83
08-08-2018,6712,6722.16,6124,6278.64,2342.85,15041359.03
09-08-2018,6278.64,6615.9,6184.29,6526.34,1272.22,8185726.22
10-08-2018,6526.34,6568,6017.17,6147,1440.88,9048838.68
11-08-2018,6147,6169.9,6011,6100.96,1028.73,6266563.75
12-08-2018,6100.96,6100.96,6100.96,6100.96,0,0
13-08-2018,6310.79,6530,6151,6248,1170.19,7378997.59
14-08-2018,6248,6248,5755,6189.73,2789.21,16773201.98
15-08-2018,6189.73,6650,6176.7,6265.66,1896.94,12135793.84
16-08-2018,6265.66,6472.44,6210,6312.9,1375.06,8716171.05
17-08-2018,6312.9,6580,6286.13,6579,1221.02,7911496.94
18-08-2018,6579,6619.88,6300.75,6388,970.35,6235435.08
19-08-2018,6388,6544.22,6306.21,6487.47,800.68,5142768.27
20-08-2018,6487.47,6521.57,6222.5,6250,1020.05,6499111.79
21-08-2018,6250,6490,6248,6468.94,671.16,4288196.9
22-08-2018,6468.94,6894.6,6255.61,6354.77,2172.96,14297907.62
23-08-2018,6354.77,6567.22,6344.41,6530.62,592.46,3817505.56
24-08-2018,6530.62,6718,6458,6685.52,759.91,4998490.51
25-08-2018,6685.52,6789,6665,6726.09,519.29,3486018.46
26-08-2018,6726.09,6778.4,6571.3,6713.15,715.04,4767849.85
27-08-2018,6713.15,6935.82,6650,6905,585.97,3967505.18
28-08-2018,6905,7125.29,6863,7076.19,1103.58,7739541.46
29-08-2018,7076.19,7123,6899.9,7032.12,738.18,5185638.34
30-08-2018,7032.12,7059.02,6805.54,6992.11,987.18,6820688.17
31-08-2018,6992.11,7090,6887.92,7026.53,833.13,5835158.33
01-09-2018,7026.53,7275,7013.87,7202,1147.9,8207003.4
02-09-2018,7202,7338,7130.87,7300,1087.34,7885339.43
03-09-2018,7300,7335,7196.08,7267.45,655.45,4761188.78
04-09-2018,7267.45,7409.76,7246.41,7359.09,636.04,4671679.18
05-09-2018,7359.09,7395.89,6680,6700,1951,13686813.59
06-09-2018,6700,6725.71,6300,6510,1766.23,11377818.54
07-09-2018,6510,6550,6320,6388.74,881.44,5680268.71
08-09-2018,6388.74,6474.1,6121.46,6181.88,826.45,5167866.41
09-09-2018,6181.88,6448.59,6147,6247.79,605.31,3828041.69
10-09-2018,6247.79,6360.18,6231,6312.83,565.55,3558526.47
11-09-2018,6312.83,6397.46,6162.34,6291.15,804.31,5055767.96
12-09-2018,6291.15,6350,6197,6338.41,781.5,4899249.08
13-09-2018,6338.41,6523.32,6333.42,6488.38,729.52,4710302.41
14-09-2018,6488.38,6580.81,6382.79,6484.08,813.65,5278846.83
15-09-2018,6484.08,6567.52,6474.35,6516.58,378.18,2464325.42
16-09-2018,6516.58,6519.61,6375,6500.08,549.01,3547222.91
17-09-2018,6500.08,6530,6206.76,6253.28,944.24,5990226.82
18-09-2018,6253.28,6385.39,6226.48,6336.19,886.22,5591492.4
19-09-2018,6336.19,6523.18,6120.1,6383.94,1378.2,8714438.73
20-09-2018,6383.94,6550,6333.9,6492.04,697.37,4488578.24
21-09-2018,6492.04,6786.12,6492,6757.43,1650.38,11037158.96
22-09-2018,6757.43,6832.39,6628.79,6731,825.33,5541774.8
23-09-2018,6731,6786,6661,6711.95,561.6,3772212.37
24-09-2018,6711.95,6729.77,6560,6590.24,746.64,4950955.45
25-09-2018,6590.24,6590.24,6334.36,6440.89,872.12,5603555.03
26-09-2018,6440.89,6556,6384.24,6465.05,859.64,5567948.14
27-09-2018,6465.05,6739.49,6432.4,6692.52,857.49,5649212.22
28-09-2018,6692.52,6800,6540.67,6641.01,775.78,5178066.15
29-09-2018,6641.01,6641.01,6478.43,6597.37,612.8,4018772.85
30-09-2018,6597.37,6666.6,6537.31,6620,452.91,2992962.01
01-10-2018,6620,6666.76,6511.11,6607.8,453.3,2988404.17
02-10-2018,6607.8,6630,6480.25,6541.6,593.92,3892076.28
03-10-2018,6541.6,6544.28,6425,6503.93,588.87,3820455.04
04-10-2018,6503.93,6642,6503.93,6600.61,799.04,5269427.5
05-10-2018,6600.61,6688,6551.77,6642.91,398.29,2637211.75
06-10-2018,6642.91,6647.59,6570,6600.18,276.32,1825159.25
07-10-2018,6600.18,6638.96,6540,6607.94,307.94,2025975.84
08-10-2018,6607.94,6716,6589.84,6674.06,378.85,2521343.94
09-10-2018,6674.06,6679,6610,6654.92,238.71,1587725.55
10-10-2018,6654.92,6656,6500,6630.2,458.87,3018851.91
11-10-2018,6630.2,6632.78,6202.35,6250.28,1927.57,12222069.77
12-10-2018,6250.28,6350,6200,6304.11,515.46,3243873.79
13-10-2018,6304.11,6336.44,6285.92,6329.23,226.25,1430111.32
14-10-2018,6329.23,6420,6311.99,6342.37,428.34,2725994.07
15-10-2018,6342.37,7648.34,6304.48,6742,5447.33,37753202.92
16-10-2018,6742,6742,6730,6730,0,0
