ICLN: iShares Global Clean Energy ETF,,
Inception Date: 2008-06-24,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	5407390,,
Shares Outstanding: 252300000,,
Expense Ratio: 0.46%,,
Tracks This Index: S&P Global Clean Energy Index,,
ETFdb.com Category: Alternative Energy Equities,,
Issuer: Blackrock Financial Management,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/ICLN,,
,,
,,
Holding,Symbol,Weighting
Vestas Wind Systems A/S,VWS,8.57%
Orsted,ORSTED,6.43%
Xcel Energy Inc.,XEL,5.01%
Iberdrola SA,IBE,4.94%
"Enphase Energy, Inc.",ENPH,4.69%
Enel SpA,ENEL,4.6%
"NextEra Energy, Inc.",NEE,4.54%
"SolarEdge Technologies, Inc.",SEDG,3.39%
SSE plc,SSE,3.35%
Plug Power Inc.,PLUG,3.1%
EDP-Energias de Portugal SA,EDP,3.0%
PG&E Corporation,PCG,2.49%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,2.21%
Sunrun Inc.,RUN,2.01%
Siemens Energy AG,ENR,1.91%
"First Solar, Inc.",FSLR,1.88%
Xinyi Solar Holdings Ltd.,968,1.77%
EDP Renovaveis SA,EDPR,1.5%
Algonquin Power & Utilities Corp.,AQN,1.46%
VERBUND AG Class A,VER,1.42%
China Longyuan Power Group Corp. Ltd. Class H,916,1.35%
Northland Power Inc.,NPI,1.34%
"IDACORP, Inc.",IDA,1.21%
Daqo New Energy Corp Sponsored ADR,DQ,1.08%
Ballard Power Systems Inc.,BLDP,1.08%
Brookfield Renewable Corporation Class A,BEPC,0.96%
"Ormat Technologies, Inc.",ORA,0.91%
Scatec ASA,SCATC,0.9%
HANWHA SOLUTIONS CORPORATION,9830,0.78%
Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,CIG,0.77%
"Renewable Energy Group, Inc.",REGI,0.77%
Contact Energy Limited,CEN,0.76%
"Hawaiian Electric Industries, Inc.",HE,0.76%
Boralex Inc. Class A,BLX,0.76%
Meridian Energy Limited,MEL,0.75%
Bloom Energy Corporation Class A,BE,0.75%
MUTUAL FUND (OTHER),Other,0.74%
"Shoals Technologies Group, Inc. Class A",SHLS,0.72%
"FuelCell Energy, Inc.",FCEL,0.72%
Atlantica Sustainable Infrastructure plc,AY,0.64%
Innergex Renewable Energy Inc.,INE,0.61%
Enel Americas S.A. Sponsored ADR,ENIA,0.59%
Nordex SE,NDX1,0.59%
"ALLETE, Inc.",ALE,0.57%
Neoen S.A.,NEOEN,0.54%
SunPower Corporation,SPWR,0.53%
Sunnova Energy International Inc,NOVA,0.53%
"Doosan Fuel Cell Co., Ltd.",336260,0.52%
Canadian Solar Inc.,CSIQ,0.52%
NEL ASA,NEL,0.51%
Encavis AG,ECV,0.5%
"TPI Composites, Inc.",TPIC,0.46%
Avista Corporation,AVA,0.41%
"Xinjiang Goldwind Science & Technology Co., Ltd. Class H",2208,0.39%
"TransAlta Renewables, Inc.",RNW,0.39%
"Solaria Energia y Medio Ambiente, S.A.",SLR,0.39%
Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,EBR,0.38%
ERG S.p.A.,ERG,0.38%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,0.35%
Companhia Paranaense de Energia Sponsored ADR,ELP,0.34%
"RENOVA, Inc.",9519,0.33%
Enlight Renewable Energy Ltd,ENLT,0.31%
Drax Group plc,DRX,0.31%
Meyer Burger Technology AG,MBTN,0.3%
CS Wind Corp.,112610,0.28%
PowerCell Sweden AB,PCELL,0.28%
SMA Solar Technology AG,S92,0.27%
Albioma,ABIO,0.26%
Xinyi Energy Holdings Limited,3868,0.25%
Energix-Renewable Energies Ltd.,ENRG,0.25%
Falck Renewables S.p.A.,FKR,0.24%
"Flat Glass Group Co., Ltd. Class H",6865,0.23%
McPhy Energy SA,MCPHY,0.23%
VERBIO Vereinigte BioEnergie AG,VBK,0.22%
U.S. Dollar,Other,0.21%
Eolus Vind AB Class B,EOLU.B,0.15%
"Unison Co., Ltd",18000,0.12%
Azure Power Global Ltd.,AZRE,0.1%
"Maxeon Solar Technologies, Ltd.",MAXN,0.06%
GCL New Energy Holdings Limited,451,0.05%
Audax Renovables SA,ADX,0.04%
"Hyundai Energy Solutions Co., Ltd.",322000,0.04%
DERIVATIVE SECURITIES (OTHER),Other,-0.08%