ITB: iShares U.S. Home Construction ETF,,
Inception Date: 2006-05-01,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	3175170,,
Shares Outstanding: 41200000,,
Expense Ratio: 0.42%,,
Tracks This Index: Dow Jones U.S. Select Home Construction Index,,
ETFdb.com Category: Building & Construction ,,
Issuer: Blackrock Financial Management,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/ITB,,
,,
,,
Holding,Symbol,Weighting
"D.R. Horton, Inc.",DHI,14.66%
Lennar Corporation Class A,LEN,12.57%
"NVR, Inc.",NVR,7.65%
"PulteGroup, Inc.",PHM,7.03%
"Home Depot, Inc.",HD,4.82%
"Lowe\'s Companies, Inc.",LOW,4.72%
Sherwin-Williams Company,SHW,4.61%
"Toll Brothers, Inc.",TOL,3.18%
TopBuild Corp.,BLD,3.13%
Masco Corporation,MAS,2.21%
"Fortune Brands Home & Security, Inc.",FBHS,1.98%
KB Home,KBH,1.92%
Meritage Homes Corporation,MTH,1.88%
Taylor Morrison Home Corporation,TMHC,1.75%
"Mohawk Industries, Inc.",MHK,1.71%
"LGI Homes, Inc.",LGIH,1.69%
"Trex Company, Inc.",TREX,1.6%
Lennox International Inc.,LII,1.55%
"Floor & Decor Holdings, Inc. Class A",FND,1.48%
"M.D.C. Holdings, Inc.",MDC,1.46%
Owens Corning,OC,1.45%
"Builders FirstSource, Inc.",BLDR,1.38%
"Tri Pointe Homes, Inc.",TPH,1.29%
"Watsco, Inc.",WSO,1.28%
"Installed Building Products, Inc.",IBP,1.23%
Louisiana-Pacific Corporation,LPX,1.0%
"Leggett & Platt, Incorporated",LEG,0.98%
"Century Communities, Inc.",CCS,0.96%
Skyline Champion Corp.,SKY,0.95%
"M/I Homes, Inc.",MHO,0.9%
Eagle Materials Inc.,EXP,0.8%
AZEK Company Inc Class A,AZEK,0.79%
"Cavco Industries, Inc.",CVCO,0.76%
"UFP Industries, Inc.",UFPI,0.69%
"Simpson Manufacturing Co., Inc.",SSD,0.65%
Lennar Corporation Class B,LEN.B,0.55%
"Green Brick Partners, Inc.",GRBK,0.51%
"Beacon Roofing Supply, Inc.",BECN,0.42%
Masonite International Corp.,DOOR,0.4%
"Beazer Homes USA, Inc.",BZH,0.32%
"JELD-WEN Holding, Inc.",JELD,0.29%
American Woodmark Corporation,AMWD,0.22%
"PGT Innovations, Inc.",PGTI,0.21%
Quanex Building Products Corporation,NX,0.12%
"Lumber Liquidators Holdings, Inc.",LL,0.09%
MUTUAL FUND (OTHER),Other,0.09%
Ethan Allen Interiors Inc.,ETH,0.09%
U.S. Dollar,Other,0.0%