MJ: ETFMG Alternative Harvest ETF,,
Inception Date: 2015-12-03,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	1628800,,
Shares Outstanding: 78800000,,
Expense Ratio: 0.75%,,
Tracks This Index: Prime Alternative Harvest Index,,
ETFdb.com Category: Small Cap Blend Equities,,
Issuer: ETFMG,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/MJ,,
,,
,,
Holding,Symbol,Weighting
"Tilray, Inc.",TLRY,14.15%
GrowGeneration Corp.,GRWG,5.64%
Canopy Growth Corporation,WEED,5.11%
Cronos Group Inc,CRON,4.55%
Philip Morris International Inc.,PM,4.55%
Altria Group Inc,MO,4.49%
HEXO Corp.,HEXO,4.36%
"Schweitzer-Mauduit International, Inc.",SWM,4.32%
Vector Group Ltd.,VGR,4.11%
Scotts Miracle-Gro Company Class A,SMG,4.07%
Imperial Brands PLC,IMB,4.06%
British American Tobacco p.l.c.,BATS,3.97%
"22nd Century Group, Inc.",XXII,3.93%
U.S. Dollar,Other,3.87%
Turning Point Brands Inc,TPB,3.52%
"Arena Pharmaceuticals, Inc.",ARNA,3.07%
Aurora Cannabis Inc.,ACB,3.01%
OrganiGram Holdings Inc,OGI,2.97%
"Village Farms International, Inc.",VFF,2.58%
Universal Corp,UVV,2.14%
Swedish Match AB,SWMA,1.89%
Valens Company Inc,VLNS,1.62%
"Charlotte\'s Web Holdings, Inc.",CWEB,1.58%
Jazz Pharmaceuticals Public Limited Company,JAZZ,1.22%
Japan Tobacco Inc.,2914,1.19%
"Hydrofarm Holdings Group, Inc.",HYFM,1.12%
Auxly Cannabis Group Inc.,XLY,0.88%
Green Organic Dutchman Holdings Ltd.,TGOD,0.66%
Corbus Pharmaceuticals Holdings Inc,CRBP,0.61%
Zynerba Pharmaceuticals Inc,ZYNE,0.56%
MediPharm Labs Corp.,LABS,0.21%