NLR: VanEck Vectors Uranium+Nuclear Energy ETF,,
Inception Date: 2007-08-13,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	24277,,
Shares Outstanding: 441000,,
Expense Ratio: 0.61%,,
Tracks This Index: DAXglobal Nuclear Energy Index,,
ETFdb.com Category: Alternative Energy Equities,,
Issuer: Van Eck Associates Corp.,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/NLR,,
,,
,,
Holding,Symbol,Weighting
Duke Energy Corporation,DUK,8.32%
Dominion Energy Inc,D,7.9%
Exelon Corporation,EXC,6.78%
Public Service Enterprise Group Inc,PEG,6.48%
Entergy Corporation,ETR,6.31%
Cameco Corporation,CCJ,5.0%
Electricite de France SA,EDF,4.93%
Fortum Oyj,FORTUM,4.92%
CEZ as,CEZ,4.89%
PG&E Corporation,PCG,4.75%
Pinnacle West Capital Corporation,PNW,4.58%
Korea Electric Power Corporation Sponsored ADR,KEP,4.39%
Endesa S.A.,ELE,4.33%
"Kyushu Electric Power Company,Incorporated",9508,3.99%
"Tokyo Electric Power Company Holdings, Incorporated",9501,3.79%
"Kansai Electric Power Company, Incorporated",9503,3.78%
"PNM Resources, Inc.",PNM,3.44%
"BWX Technologies, Inc.",BWXT,3.03%
National Atomic Company Kazatomprom JSC Sponsored GDR RegS,KAP,2.13%
NexGen Energy Ltd.,NXE,2.12%
Hokuriku Electric Power Company,9505,1.21%
Energy Fuels Inc.,UUUU,0.83%
Uranium Energy Corp.,UEC,0.71%
"KEPCO Plant Service & Engineering Co., Ltd",51600,0.61%
Uranium Participation Corporation,U,0.53%
U.S. Dollar,Other,0.24%