POTX: Global X Cannabis ETF,,
Inception Date: 2019-09-17,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	185368,,
Shares Outstanding: 13403000,,
Expense Ratio: 0.51%,,
Tracks This Index: Cannabis Index,,
ETFdb.com Category: Small Cap Blend Equities,,
Issuer: Mirae Asset,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/POTX,,
,,
,,
Holding,Symbol,Weighting
"Tilray, Inc.",TLRY,16.39%
Valens Company Inc,VLNS,7.67%
OrganiGram Holdings Inc,OGI,6.75%
Aurora Cannabis Inc.,ACB,6.61%
Cronos Group Inc,CRON,6.18%
HEXO Corp.,HEXO,5.58%
Canopy Growth Corporation,WEED,5.29%
"RIV Capital, Inc. Class A",RIV,4.92%
"Charlotte\'s Web Holdings, Inc.",CWEB,4.85%
Sundial Growers Inc.,SNDL,4.43%
Auxly Cannabis Group Inc.,XLY,3.87%
Green Organic Dutchman Holdings Ltd.,TGOD,2.97%
Supreme Cannabis Company Inc,FIRE,2.92%
Corbus Pharmaceuticals Holdings Inc,CRBP,2.77%
"Aleafia Health, Inc.",AH,2.57%
Zynerba Pharmaceuticals Inc,ZYNE,2.54%
Fire & Flower Holdings Corp.,FAF,2.52%
Creso Pharma Ltd,CPH,2.5%
"cbdMD, Inc.",YCBD,2.29%
PharmaCielo Ltd.,PCLO,2.04%
Cann Group Ltd.,CAN,1.83%
"Namaste Technologies, Inc.",N,1.32%
MediPharm Labs Corp.,LABS,1.0%
U.S. Dollar,Other,0.21%