SMH: VanEck Vectors Semiconductor ETF,,
Inception Date: 2011-12-20,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	5282650,,
Shares Outstanding: 22720000,,
Expense Ratio: 0.35%,,
Tracks This Index: MVIS US Listed Semiconductor 25 Index,,
ETFdb.com Category: Technology Equities,,
Issuer: Van Eck Associates Corp.,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/SMH,,
,,
,,
Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,15.05%
NVIDIA Corporation,NVDA,8.1%
ASML Holding NV ADR,ASML,6.06%
Intel Corporation,INTC,5.66%
Texas Instruments Incorporated,TXN,5.17%
Lam Research Corporation,LRCX,4.89%
Qualcomm Inc,QCOM,4.85%
Broadcom Inc.,AVGO,4.79%
"Applied Materials, Inc.",AMAT,4.79%
"Analog Devices, Inc.",ADI,4.29%
NXP Semiconductors NV,NXPI,4.26%
"Advanced Micro Devices, Inc.",AMD,4.24%
"Micron Technology, Inc.",MU,4.1%
KLA Corporation,KLAC,3.2%
Microchip Technology Incorporated,MCHP,2.67%
"Xilinx, Inc.",XLNX,2.38%
"Cadence Design Systems, Inc.",CDNS,2.36%
"Skyworks Solutions, Inc.",SWKS,2.24%
"Marvell Technology, Inc.",MRVL,2.17%
STMicroelectronics NV ADR RegS,STM,2.07%
"Maxim Integrated Products, Inc.",MXIM,1.77%
"Teradyne, Inc.",TER,1.65%
"Qorvo, Inc.",QRVO,1.46%
ON Semiconductor Corporation,ON,1.07%
Universal Display Corporation,OLED,0.71%