WOOD: iShares Global Timber & Forestry ETF,,
Inception Date: 2008-06-24,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	471746,,
Shares Outstanding: 4860000,,
Expense Ratio: 0.46%,,
Tracks This Index: S&P Global Timber & Forestry Index,,
ETFdb.com Category: Materials,,
Issuer: Blackrock Financial Management,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/WOOD,,
,,
,,
Holding,Symbol,Weighting
West Fraser Timber Co. Ltd.,WFG,9.23%
Rayonier Inc.,RYN,8.58%
Weyerhaeuser Company,WY,8.37%
PotlatchDeltic Corporation,PCH,7.1%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,6.9%
WestRock Company,WRK,4.18%
International Paper Company,IP,4.15%
Smurfit Kappa Group Plc,SK3,3.94%
Holmen AB Class B,HOLM.B,3.77%
Mondi plc,MNDI,3.77%
UPM-Kymmene Oyj,UPM,3.75%
Oji Holdings Corp.,3861,3.57%
Stora Enso Oyj Class R,STERV,3.53%
Suzano S.A.,SUZB3,3.52%
Interfor Corporation,IFP,3.39%
Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,KLBN11,3.23%
"Sumitomo Forestry Co., Ltd.",1911,3.21%
BillerudKorsnas AB,BILL,3.16%
Canfor Corporation,CFP,2.87%
Domtar Corporation,UFS,2.18%
Daio Paper Corporation,3880,1.9%
Metsa Board Oyj Class B,METSB,1.87%
Sappi Limited,SAP,1.49%
"Nippon Paper Industries Co., Ltd.",3863,1.13%
"CatchMark Timber Trust, Inc. Class A",CTT,1.01%
U.S. Dollar,Other,0.3%
DERIVATIVE SECURITIES (OTHER),Other,-0.09%